S.No.,Company Name,Ticker,Sector
236,Mine Restoration Investments Ltd,MRI,Support Services
237,Mix Telematics Limited,MIX,Support Services
238,MMI Holdings Limited,MMI,Life Insurance
239,Mondi Limited,MND,Forestry & Paper
240,Mondi Plc,MNP,General Industrials
241,Moneyweb Holdings Limited,MNY,Software & Computer Services
242,Montauk Holdings Limited,MNK,Electricity
243,Montauk Renewables,MKR,Oil & Gas Producers
244,Motus Holdings Limited,MTH,Automobiles & Parts
245,Mpact Limited,MPT,General Industrials
246,Mr Price Group Limited,MRP,General Retailers
247,MTN Group Limited,MTN,Mobile Telecommunications
248,MTN Zakhele Futhi (RF),MTNZF,Financial Services
249,MultiChoice Group Limited,MCG,Media
250,Murray & Roberts Holdings Limited,MUR.ZA,Construction & Materials
251,Mustek Limited,MST,Technology Hardware & Equipment
252,Nampak Limited,NPK,General Industrials
253,Naspers Limited,NPN,Media
254,Nedbank Group Limited,NED,Banks
255,NEPI Rockcastle,NRP,Real Estate Investment & Services
256,Net 1 UEPS Technologies Inc,NT1,Technology Hardware & Equipment
257,Netcare Limited,NTC,Health Care Equipment & Services
258,New Frontier Properties Limited,NFP,Real Estate Investment & Services
259,Newpark REIT Limited,NRL,Real Estate Investment Trusts
260,Nictus Beperk,NCS,Financial Services
261,Niveus Investments Ltd,NIV,Financial Services
262,Northam Platinum Limited,NHM,Mining
263,Novus Holdings Limited,NVS,Support Services
264,Nu-World Holdings Limited,NWL,Household Goods & Home Construction
265,Nutritional Holdings Limited,NUT,Food Producers
266,NVest Financial Holdings Limited,NVE,Financial Services
267,Oando Plc,OAO,Oil & Gas Producers
268,Oasis Crescent Property Fund,OAS,Financial Services
269,Oceana Group Limited,OCE,Food Producers
270,Octodec Investments Limited,OCT,Real Estate Investment Trusts
271,Old Mutual Limited,OMU.za,Financial Services
272,Old Mutual Plc,OML,Insurance
273,Omnia Holdings Limited,OMN,Chemicals
274,Onelogix Group Limited,OLG,Industrial Transportation
275,Orion Minerals NL,ORN,Mining
276,Orion Real Estate Limited,ORE,Real Estate Investment Trusts
277,Pallinghurst Resources Limited,PGL,Financial Services
278,Pan African Resources Plc,PAN,Industrial Metals & Mining
279,Pembury Lifestyle Group Limited,PEM,Real Estate Investment & Services
280,Pepkor Holdings Limited,PPH,General Retailers
281,Peregrine Holdings Limited,PGR,Financial Services
282,Petmin Limited,PET,Industrial Metals & Mining
283,Phumelela Gaming & Leisure Limited,PHM,Travel & Leisure
284,Pick N Pay Holdings Limited,PWK,Food & Drug Retailers
285,Pick N Pay Stores Limited,PIK,Food & Drug Retailers
286,Pioneer Food Group Limited,PFG,Food Producers
287,PPC Limited,PPC,Construction & Materials
288,Premier Food and Fishing Limited,PFF,Food Producers
289,Prescient Limited,PCT,Financial Services
290,Primeserv Group Limited,PMV,Support Services
291,Prosus,PRX,Media
292,PSG Group Limited,PSG,Financial Services
293,PSG Konsult Limited,KST,Financial Services
294,PSV Holdings Limited,PSV,Industrial Engineering
295,Purple Group Limited,PPE,Financial Services
296,Putprop Limited,PPR,Real Estate Investment & Services
297,Quantum Food Holdings Limited,QFH,Food Producers
298,Quilter Plc,QLT,Financial Services
299,Rand Merchant Investment Holdings Limited,RMI,Life Insurance
300,Randgold & Exploration Company Ltd,RNG,Mining
301,Rare Holdings Limited,RAR,Support Services
302,Raubex Group Limited,RBX,Construction & Materials
303,Raven Property Group Limited,RAV,Real Estate Investment & Services
304,RCL Foods Limited,RCL,Food Producers
305,RDI REIT Plc,RPL,Real Estate Investment Trusts
306,Rebosis Property Fund Limited,REB,Real Estate Investment Trusts
307,RECM And Calibre Limited,RACP,Financial Services
308,Redefine Properties Limited,RDF,Real Estate Investment Trusts
309,Reinet Investments SCA,REI,Financial Services
310,Remgro Limited,REM,Financial Services
311,Renergen Limited,REN,Financial Services
312,Resilient REIT Limited,RES,Real Estate Investment Trusts
313,Resource Generation Limited,RSG,#N/A
314,Reunert Limited,RLO,General Industrials
315,Rex Trueform Clothing Company Ltd,RTO,General Retailers
316,RH Bophelo Limited,RHB,Health Care Equipment & Services
317,Rhodes Food Group Holdings Limited,RFG,Food Producers
318,RMB Holdings Limited,RMH,Financial Services
319,Rockwell Diamonds Incorporated,RDI,Industrial Metals & Mining
320,Rolfes Holdings Limited,RLF,Chemicals
321,Royal Bafokeng Platinum Limited,RBP,Mining
322,SA Corporate Real Estate Limited,SAC,Real Estate Investment Trusts
323,Sabvest Limited,SBV,Financial Services
324,Safari Investments RSA Limited,SAR,Real Estate Investment Trusts
325,Sanlam Limited,SLM,Life Insurance
326,Santam Limited,SNT,Nonlife Insurance
327,Santova Limited,SNV,Industrial Transportation
328,Sappi Limited,SAP,Forestry & Paper
329,Sasfin Holdings Limited,SFN,Banks
330,Sasol Limited,SOL,Oil & Gas Producers
331,Schroder European Real Estate Investment Trust plc,SCD,Real Estate Investment Trusts
332,Sebataa Holdings Limited,SEB,Financial Services
333,Sentula Mining Limited,SNU,Oil & Gas Producers
334,Sephaku Holdings Limited,SEP,Construction & Materials
335,Shoprite Holdings Limited,SHP,Food & Drug Retailers
336,Sibanye-Stillwater Limited,SSW,Mining
337,Silverbridge Holdings Limited,SVB,Software & Computer Services
338,Sirius Real Estate Limited,SRE,Real Estate Investment & Services
339,South Ocean Holdings Limited,SOH,Electronic & Electrical Equipment
340,South32 Limited,S32,Industrial Metals & Mining
341,Spanjaard Limited,SPA,Chemicals
342,Spear REIT Limited,SEA,Real Estate Investment Trusts
343,Spur Corporation Limited,SUR,Travel & Leisure
344,Stadio Holdings Limited,SDO,General Retailers
345,Standard Bank Group Limited,SBK,Banks
346,Stefanutti Stocks Holdings Ltd,SSK,Construction & Materials
347,Steinhoff International Holdings Limited,SHF,Personal Goods
348,Steinhoff International Holdings NV,SNH,Personal Goods
349,Stellar Capital Partners Limited,SCP,Software & Computer Services
350,Stenprop Limited,STP,Real Estate Investment & Services
351,Stor-Age Property REIT Limited,SSS,Real Estate Investment Trusts
352,StratCorp Limited,STA,Financial Services
353,Sun International Limited,SUI,Travel & Leisure
354,Super Group Limited,SPG,General Retailers
355,Sygnia Limited,SYG,Financial Services
356,Taste Holdings Limited,TAS,Travel & Leisure
357,Tawana Resources NL,TAW,Industrial Metals & Mining
358,Telemasters Holdings Limited,TLM,Fixed Line Telecommunications
359,Telkom SA SOC Limited,TKG,Fixed Line Telecommunications
360,Textainer Group Holdings Limited,TXT,Industrial Transportation
361,Texton Property Fund Limited,TEX,Real Estate Investment Trusts
362,Tharisa Plc,THA,Mining
363,The Bidvest Group Limited,BVT,General Industrials
364,The Foschini Group Limited,TFG,General Retailers
365,The SPAR Group Limited,SPP,Food & Drug Retailers
366,The Waterberg Coal Company Limited,WCC,Mining
367,Tiger Brands Limited,TBS,Food Producers
368,Tiso Blackstar Group SE,TBG,Financial Services
369,Tongaat Hulett Limited,TON,Food Producers
370,Torre Industries Limited,TOR,Support Services
371,Total Client Services Limited,TCS,Software & Computer Services
372,Tower Property Fund Limited,TWR,Real Estate Investment Trusts
373,Tradehold Limited,TDH,Real Estate Investment & Services
374,Trans Hex Group Limited,TSX,Mining
375,Transaction Capital Limited,TCP,Financial Services
376,Transpaco Limited,TPC,General Industrials
377,Trellidor Holdings Limited,TRL,Construction & Materials
378,Trematon Capital Investments Ltd,TMT,Financial Services
379,Trencor Limited,TRE,Industrial Transportation
380,Trustco Group Holdings Limited,TTO,Financial Services
381,Truworths International Limited,TRU,General Retailers
382,Tsogo Sun Holdings Limited,TSH,Travel & Leisure
383,Tsogo Sun Hotels Limited,TGO,Travel & Leisure
384,Union Atlantic Minerals Limited,UAT,Industrial Metals & Mining
385,Universal Partners Limited,UPL,Financial Services
386,Value Group Limited,VLE,Travel & Leisure
387,Verimark Holdings Limited,VMK,General Retailers
388,Visual International Holdings Limited,VIS,Real Estate Investment & Services
389,Vivo Energy Plc,VVO,Oil & Gas Producers
390,Vodacom Group Limited,VOD,Mobile Telecommunications
391,Vukile Property Fund Limited,VKE,Real Estate Investment Trusts
392,Vunani Limited,VUN,Financial Services
393,W G Wearne Limited,WEA,Construction & Materials
394,Wescoal Holdings Limited,WSL,Support Services
395,Wesizwe Platinum Limited,WEZ,Mining
396,Wilderness Holdings Limited,WIL,Travel & Leisure
397,Wilson Bayly Holmes-Ovcon Limited,WBO,Construction & Materials
398,Winhold Limited,WNH,General Industrials
399,Woolworths Holdings Limited,WHL,General Retailers
400,Workforce Holdings Limited,WKF,Support Services
401,York Timber Holdings Limited,YRK,Forestry & Paper
402,ZCI Limited,ZCI,Industrial Metals & Mining
403,Zeder Investments Limited,ZED,Financial Services
